item_id,category,daily_demand,demand_std_dev,lead_time_days,reorder_frequency_days,ADI,CV2,intermittency_class
ITM12392,Apparel,19.62,6.98,5,14,14.0,0.12656477143192627,Intermittent
ITM11926,Automotive,46.76,1.68,9,7,7.0,0.0012908315106314315,Intermittent
ITM11036,Apparel,33.55,7.41,7,7,7.0,0.04878107502426479,Intermittent
ITM10168,Electronics,3.37,3.2,8,12,12.0,0.9016545007880672,Lumpy
ITM10576,Apparel,38.41,1.89,2,3,3.0,0.0024212241331267267,Intermittent
ITM10774,Apparel,30.18,8.4,7,6,6.0,0.0774675999667996,Intermittent
ITM13156,Pharma,25.09,9.08,7,12,12.0,0.13096956178959415,Intermittent
ITM13109,Groceries,36.95,5.46,4,14,14.0,0.021835161072363083,Intermittent
ITM11012,Automotive,11.97,9.5,2,9,9.0,0.6298815822625345,Lumpy
ITM13033,Pharma,12.16,2.79,4,7,7.0,0.05264307587430748,Intermittent
ITM11674,Automotive,42.4,9.69,5,3,3.0,0.05222949670701317,Intermittent
ITM12081,Electronics,13.35,1.65,4,8,8.0,0.015275849008963513,Intermittent
ITM10932,Apparel,14.48,1.29,7,6,6.0,0.00793674262079912,Intermittent
ITM12643,Apparel,13.18,7.32,8,9,9.0,0.30845466414602535,Intermittent
ITM12509,Pharma,26.53,9.49,8,9,9.0,0.12795519555626847,Intermittent
ITM12941,Electronics,6.81,2.84,5,7,7.0,0.17391716854155484,Intermittent
ITM12053,Groceries,9.73,9.24,7,9,9.0,0.9018166761554784,Lumpy
ITM13110,Electronics,18.93,6.28,4,12,12.0,0.1100570986220259,Intermittent
ITM12310,Electronics,24.99,2.6,7,14,14.0,0.010824657994450284,Intermittent
ITM12264,Groceries,21.34,2.6,9,13,13.0,0.014844236527537816,Intermittent
ITM10857,Pharma,33.37,9.83,2,9,9.0,0.08677500000224507,Intermittent
ITM10928,Electronics,45.66,6.29,3,10,10.0,0.018977083852558925,Intermittent
ITM11139,Pharma,14.06,4.72,6,10,10.0,0.11269725966139829,Intermittent
ITM11967,Electronics,31.22,5.18,4,10,10.0,0.02752920830903497,Intermittent
ITM10974,Pharma,45.13,0.91,3,4,4.0,0.00040658571645376925,Intermittent
ITM11536,Automotive,17.8,4.02,9,4,4.0,0.051004923620754934,Intermittent
ITM10286,Pharma,27.65,5.55,7,4,4.0,0.04028985412463335,Intermittent
ITM10873,Pharma,12.74,4.72,9,9,9.0,0.13726036242295492,Intermittent
ITM11846,Electronics,29.38,6.57,9,13,13.0,0.05000658028574197,Intermittent
ITM10020,Apparel,40.5,5.77,8,4,4.0,0.020297454656302387,Intermittent
ITM12972,Electronics,22.14,6.61,9,11,11.0,0.08913488035813814,Intermittent
ITM12468,Automotive,1.95,3.17,9,9,9.0,2.642708744247206,Lumpy
ITM10123,Groceries,32.61,2.85,5,14,14.0,0.007638148935864093,Intermittent
ITM10117,Groceries,21.74,1.57,2,10,10.0,0.005215311166762162,Intermittent
ITM10128,Automotive,9.66,9.91,8,3,3.0,1.0524296044819943,Lumpy
ITM10196,Groceries,17.01,7.13,6,8,8.0,0.17569946232824274,Intermittent
ITM12793,Electronics,5.93,8.9,8,7,7.0,2.2525302218974037,Lumpy
ITM10870,Groceries,8.94,8.11,9,11,11.0,0.8229371549830089,Lumpy
ITM10057,Apparel,39.25,1.01,8,6,6.0,0.0006621607367438841,Intermittent
ITM12114,Apparel,19.71,6.74,9,10,10.0,0.1169355451098256,Intermittent
ITM12761,Electronics,48.82,4.06,2,5,5.0,0.006916024402863749,Intermittent
ITM11850,Apparel,31.95,3.59,8,3,3.0,0.012625458891411413,Intermittent
ITM11206,Pharma,13.23,2.0,6,7,7.0,0.022852846521996723,Intermittent
ITM11884,Electronics,30.99,7.93,7,13,13.0,0.06547917850442758,Intermittent
ITM12613,Pharma,24.86,1.95,9,11,11.0,0.006152717486629874,Intermittent
ITM11672,Automotive,6.76,4.37,6,7,7.0,0.41789721998529467,Intermittent
ITM11909,Pharma,45.4,5.75,4,7,7.0,0.016040724640493706,Intermittent
ITM11385,Automotive,15.97,0.71,9,11,11.0,0.0019765457226664424,Intermittent
ITM11271,Apparel,42.26,1.84,5,6,6.0,0.0018957307757691386,Intermittent
ITM11583,Apparel,29.65,5.13,7,13,13.0,0.02993541855657204,Intermittent
ITM13190,Automotive,23.82,8.22,2,14,14.0,0.11908583900665573,Intermittent
ITM11889,Apparel,6.11,8.45,6,12,12.0,1.9126301493888633,Lumpy
ITM10469,Pharma,13.81,7.29,3,9,9.0,0.27865555136666487,Intermittent
ITM11154,Apparel,32.11,2.83,3,14,14.0,0.007767696705142252,Intermittent
ITM11283,Apparel,3.28,7.27,3,4,4.0,4.912710068411659,Lumpy
ITM12739,Pharma,28.62,4.61,5,7,7.0,0.025945532706209373,Intermittent
ITM11030,Automotive,37.1,8.66,2,8,8.0,0.054486381238148515,Intermittent
ITM10442,Groceries,49.85,7.48,5,12,12.0,0.022515047650473987,Intermittent
ITM12411,Pharma,49.38,4.56,9,3,3.0,0.008527613611701254,Intermittent
ITM12447,Electronics,11.84,5.19,4,13,13.0,0.19214598361029953,Intermittent
ITM12267,Electronics,24.03,6.37,9,5,5.0,0.07027022159324012,Intermittent
ITM11442,Apparel,3.94,2.88,4,10,10.0,0.534309052024015,Lumpy
ITM10277,Groceries,1.98,9.41,5,14,14.0,22.586496275890216,Lumpy
ITM11219,Electronics,35.15,3.85,3,9,9.0,0.011996948659372859,Intermittent
ITM11738,Electronics,45.86,9.73,3,3,3.0,0.04501503371435733,Intermittent
ITM10366,Pharma,24.04,8.01,3,12,12.0,0.11101869180871592,Intermittent
ITM10835,Pharma,40.97,4.09,5,4,4.0,0.009965857847133783,Intermittent
ITM10493,Electronics,44.55,0.88,2,8,8.0,0.00039018442310623393,Intermittent
ITM11657,Groceries,35.51,1.64,3,4,4.0,0.0021329778793159277,Intermittent
ITM12040,Pharma,48.34,8.01,2,5,5.0,0.027456915049224654,Intermittent
ITM11620,Pharma,33.49,2.64,6,8,8.0,0.006214090282093984,Intermittent
ITM13017,Pharma,42.07,8.11,5,9,9.0,0.037161795097523,Intermittent
ITM11251,Groceries,6.85,8.1,6,7,7.0,1.3982630933986895,Lumpy
ITM11402,Automotive,37.68,8.75,8,11,11.0,0.053925517036976935,Intermittent
ITM10944,Groceries,14.29,2.25,3,7,7.0,0.024791372945009427,Intermittent
ITM12494,Groceries,10.49,6.34,9,10,10.0,0.365281383786456,Intermittent
ITM11171,Apparel,14.6,0.78,9,11,11.0,0.0028541940326515295,Intermittent
ITM11640,Automotive,34.63,2.62,7,5,5.0,0.005723973303356491,Intermittent
ITM11128,Pharma,42.42,8.46,8,11,11.0,0.03977401175154897,Intermittent
ITM12616,Pharma,43.72,5.9,8,9,9.0,0.018211416072838136,Intermittent
ITM11223,Groceries,44.1,4.29,6,11,11.0,0.009463186635198295,Intermittent
ITM10598,Automotive,48.14,9.72,6,14,14.0,0.04076808933368246,Intermittent
ITM13096,Groceries,9.79,8.38,2,11,11.0,0.7326940312444901,Lumpy
ITM10193,Apparel,11.21,1.03,6,12,12.0,0.008442347496222071,Intermittent
ITM11329,Electronics,42.08,9.96,9,6,6.0,0.0560231100637569,Intermittent
ITM10159,Groceries,41.31,4.12,2,11,11.0,0.009946815034443566,Intermittent
ITM12285,Pharma,45.09,1.29,3,6,6.0,0.0008185005017686959,Intermittent
ITM11626,Automotive,36.79,1.16,8,8,8.0,0.0009941602688902087,Intermittent
ITM10625,Apparel,8.86,3.38,4,8,8.0,0.14553449953885114,Intermittent
ITM11500,Pharma,15.96,8.5,5,10,10.0,0.2836430047549952,Intermittent
ITM11183,Apparel,14.69,9.22,3,10,10.0,0.39392926934268047,Intermittent
ITM11383,Groceries,11.57,3.5,9,7,7.0,0.0915101718224867,Intermittent
ITM12947,Electronics,13.27,8.45,7,5,5.0,0.40548199274360297,Intermittent
ITM10092,Groceries,9.96,1.45,5,6,6.0,0.021194214609441778,Intermittent
ITM10397,Groceries,28.81,5.32,3,7,7.0,0.03409861567745493,Intermittent
ITM11746,Apparel,2.29,5.49,4,3,3.0,5.747430445643676,Lumpy
ITM12118,Groceries,13.77,1.3,2,9,9.0,0.008912895694333034,Intermittent
ITM12956,Pharma,14.32,1.17,7,11,11.0,0.0066755290097063125,Intermittent
ITM10982,Pharma,17.57,6.45,5,6,6.0,0.13476462472736908,Intermittent
ITM12622,Pharma,8.18,8.56,8,12,12.0,1.0950675808968147,Lumpy
ITM11265,Pharma,31.03,6.14,7,12,12.0,0.039153734459463456,Intermittent
ITM12450,Pharma,20.18,2.93,3,14,14.0,0.0210810829393732,Intermittent
ITM11574,Automotive,39.72,1.93,7,13,13.0,0.0023610008224743393,Intermittent
ITM11564,Electronics,18.71,7.78,3,5,5.0,0.17290661910204447,Intermittent
ITM12806,Pharma,5.85,8.26,5,14,14.0,1.993647454160275,Lumpy
ITM12927,Automotive,32.85,3.29,8,3,3.0,0.010030464567275726,Intermittent
ITM11842,Electronics,8.56,5.69,5,4,4.0,0.4418521814132239,Intermittent
ITM11897,Apparel,26.16,9.26,7,8,8.0,0.12529867949761053,Intermittent
ITM12749,Groceries,34.31,8.35,6,5,5.0,0.05922860649311516,Intermittent
ITM12677,Automotive,28.92,3.6,7,11,11.0,0.015495600971057661,Intermittent
ITM10876,Electronics,38.09,8.36,5,9,9.0,0.04817154876516706,Intermittent
ITM12660,Groceries,35.57,1.76,5,4,4.0,0.0024482603843790935,Intermittent
ITM10009,Automotive,3.91,8.78,8,9,9.0,5.042379366958614,Lumpy
ITM11113,Groceries,22.81,4.45,4,7,7.0,0.038060058493615476,Intermittent
ITM11958,Pharma,38.35,7.09,8,7,7.0,0.034179187440186706,Intermittent
ITM11989,Apparel,28.92,5.5,3,9,9.0,0.03616835874803196,Intermittent
ITM12336,Pharma,41.49,3.96,2,5,5.0,0.00910968798377572,Intermittent
ITM12350,Automotive,16.78,8.97,7,14,14.0,0.2857596946248229,Intermittent
ITM12514,Pharma,10.53,7.64,3,7,7.0,0.5264170835554186,Lumpy
ITM13075,Apparel,34.14,2.34,7,13,13.0,0.0046979098779655355,Intermittent
ITM10616,Pharma,25.24,4.01,4,6,6.0,0.02524120267931817,Intermittent
ITM11515,Pharma,38.19,1.96,6,7,7.0,0.0026339821406740917,Intermittent
ITM11163,Pharma,32.02,6.59,8,3,3.0,0.042357290746999544,Intermittent
ITM10179,Electronics,21.81,2.5,7,9,9.0,0.013139192824697311,Intermittent
ITM11053,Electronics,17.65,6.63,6,10,10.0,0.14110345159659415,Intermittent
ITM11466,Automotive,44.73,0.87,5,3,3.0,0.000378303804494753,Intermittent
ITM12418,Automotive,14.92,6.45,8,11,11.0,0.18688815775287684,Intermittent
ITM10466,Apparel,41.76,7.18,9,5,5.0,0.029561598112182737,Intermittent
ITM12823,Electronics,19.37,6.98,9,5,5.0,0.129852885245054,Intermittent
ITM10412,Automotive,12.01,4.03,5,3,3.0,0.11259628910407024,Intermittent
ITM12741,Apparel,37.58,9.55,5,4,4.0,0.06457927894679749,Intermittent
ITM12178,Electronics,43.69,7.31,6,4,4.0,0.02799436781783221,Intermittent
ITM10186,Automotive,9.78,9.98,4,11,11.0,1.0413179938190291,Lumpy
ITM10053,Automotive,2.86,4.12,6,13,13.0,2.0752115017849286,Lumpy
ITM11867,Apparel,39.16,6.86,5,9,9.0,0.03068759579358563,Intermittent
ITM12048,Groceries,33.08,4.84,9,5,5.0,0.021407192851889602,Intermittent
ITM12676,Automotive,36.57,6.65,9,9,9.0,0.033066891466943686,Intermittent
ITM12160,Pharma,7.34,5.64,2,12,12.0,0.5904268351535761,Lumpy
ITM10724,Electronics,27.69,7.17,7,10,10.0,0.06704901464793427,Intermittent
ITM11363,Groceries,44.44,2.55,4,11,11.0,0.0032925491018948876,Intermittent
ITM11905,Automotive,46.27,6.5,6,11,11.0,0.01973457210706703,Intermittent
ITM10095,Groceries,32.02,6.56,2,10,10.0,0.04197251795703886,Intermittent
ITM13170,Apparel,1.18,6.35,4,9,9.0,28.95899166906062,Lumpy
ITM12302,Electronics,42.26,8.0,3,3,3.0,0.035836120524936455,Intermittent
ITM11903,Electronics,22.43,0.81,4,10,10.0,0.0013041017887124536,Intermittent
ITM12192,Automotive,43.1,3.37,8,13,13.0,0.006113716011434046,Intermittent
ITM11910,Groceries,10.26,3.22,6,14,14.0,0.098495643483845,Intermittent
ITM11986,Pharma,9.26,5.85,4,11,11.0,0.39910738026487036,Intermittent
ITM11579,Automotive,31.7,2.33,6,8,8.0,0.0054024818636865726,Intermittent
ITM11123,Groceries,3.61,9.66,9,14,14.0,7.160442292493153,Lumpy
ITM11628,Automotive,5.99,4.95,6,13,13.0,0.682899434505478,Lumpy
ITM11165,Apparel,35.56,3.34,8,14,14.0,0.008822048256341409,Intermittent
ITM11659,Pharma,45.88,1.27,7,7,7.0,0.0007662325964629307,Intermittent
ITM12354,Groceries,9.08,7.65,6,11,11.0,0.7098248073900135,Lumpy
ITM10752,Electronics,21.48,1.92,8,5,5.0,0.007989763116007614,Intermittent
ITM12910,Electronics,15.98,1.67,2,7,7.0,0.010921427128090338,Intermittent
ITM10998,Pharma,38.51,0.96,9,3,3.0,0.0006214345982229103,Intermittent
ITM10003,Automotive,33.69,2.79,5,13,13.0,0.006858140602587048,Intermittent
ITM10574,Automotive,15.07,1.89,2,6,6.0,0.015728854815549996,Intermittent
ITM11409,Electronics,36.97,9.01,2,9,9.0,0.05939510860884872,Intermittent
ITM11789,Pharma,48.65,2.72,8,9,9.0,0.003125878683340217,Intermittent
ITM12270,Automotive,21.47,1.95,9,14,14.0,0.008249072752157503,Intermittent
ITM12309,Pharma,12.45,7.06,3,4,4.0,0.3215664263479622,Intermittent
ITM12453,Pharma,48.22,5.88,7,10,10.0,0.014869632668326305,Intermittent
ITM13091,Apparel,39.51,3.37,7,11,11.0,0.007275213493875015,Intermittent
ITM12135,Electronics,1.06,5.55,7,6,6.0,27.414115343538622,Lumpy
ITM12080,Apparel,22.15,6.12,2,14,14.0,0.07634056734047052,Intermittent
ITM10846,Pharma,32.53,6.8,8,14,14.0,0.04369680653267258,Intermittent
ITM11804,Automotive,40.57,9.76,9,8,8.0,0.05787481555203399,Intermittent
ITM10218,Electronics,30.47,4.59,8,6,6.0,0.02269240168979393,Intermittent
ITM11267,Automotive,6.97,5.17,4,3,3.0,0.5501935946019939,Lumpy
ITM12272,Automotive,6.62,6.72,6,3,3.0,1.0304396637489617,Lumpy
ITM12752,Electronics,15.67,7.21,5,11,11.0,0.21170569283755702,Intermittent
ITM10959,Electronics,1.95,4.86,2,14,14.0,6.211597633136095,Lumpy
ITM10922,Automotive,38.31,1.66,9,3,3.0,0.001877551559932875,Intermittent
ITM10166,Pharma,31.06,1.87,7,8,8.0,0.0036247687938804453,Intermittent
ITM11731,Apparel,41.24,2.49,3,4,4.0,0.0036455359133590044,Intermittent
ITM10914,Pharma,10.24,2.8,4,13,13.0,0.07476806640625,Intermittent
ITM11822,Apparel,6.53,3.81,6,11,11.0,0.34042667954944666,Intermittent
ITM12936,Apparel,10.76,9.52,3,8,8.0,0.7827973632205193,Lumpy
ITM11624,Electronics,47.91,5.8,5,7,7.0,0.014655601426193907,Intermittent
ITM11225,Pharma,6.35,9.68,7,8,8.0,2.3238241676483358,Lumpy
ITM10665,Electronics,41.46,9.3,7,14,14.0,0.05031613823377266,Intermittent
ITM11048,Groceries,4.35,6.59,9,10,10.0,2.2950508653719117,Lumpy
ITM11282,Automotive,5.15,5.75,5,4,4.0,1.24658308982939,Lumpy
ITM13175,Groceries,35.55,0.79,8,5,5.0,0.0004938271604938274,Intermittent
ITM10109,Groceries,13.05,1.98,9,8,8.0,0.023020214030915576,Intermittent
ITM10090,Groceries,48.56,6.73,7,3,3.0,0.01920758537816631,Intermittent
ITM10877,Apparel,3.33,6.27,4,5,5.0,3.5452479506533554,Lumpy
ITM12026,Electronics,17.07,1.5,4,14,14.0,0.007721745361547562,Intermittent
ITM10646,Groceries,46.24,5.45,5,10,10.0,0.013891762625567223,Intermittent
ITM12280,Automotive,19.74,9.02,3,14,14.0,0.2087943673017721,Intermittent
ITM11194,Automotive,11.93,1.61,5,14,14.0,0.01821255451435413,Intermittent
ITM11487,Pharma,44.76,7.68,8,5,5.0,0.029440303603130907,Intermittent
ITM11474,Apparel,46.86,6.9,6,6,6.0,0.021681714076801636,Intermittent
ITM11140,Automotive,38.36,3.59,7,3,3.0,0.00875853964581197,Intermittent
ITM12664,Pharma,6.41,5.59,7,5,5.0,0.7605146015513007,Lumpy
ITM10305,Pharma,8.89,0.99,5,6,6.0,0.012401290108702666,Intermittent
ITM10506,Pharma,12.38,0.79,8,12,12.0,0.004072048042467787,Intermittent
ITM12921,Automotive,5.88,5.53,9,3,3.0,0.8844954648526079,Lumpy
ITM10706,Automotive,7.41,1.72,3,6,6.0,0.053879118017196005,Intermittent
ITM12476,Electronics,33.82,7.31,5,3,3.0,0.046718355533748944,Intermittent
ITM12049,Apparel,3.4,2.45,4,12,12.0,0.5192474048442908,Lumpy
ITM11716,Groceries,49.33,0.59,7,12,12.0,0.00014304800072029454,Intermittent
ITM11155,Groceries,44.46,7.64,5,13,13.0,0.02952893612741613,Intermittent
ITM11866,Apparel,47.92,1.25,6,7,7.0,0.0006804346281086173,Intermittent
ITM10909,Apparel,37.48,7.74,5,8,8.0,0.04264643740268735,Intermittent
ITM11612,Electronics,4.15,9.58,7,5,5.0,5.328866308607925,Lumpy
ITM12431,Automotive,32.38,0.76,9,6,6.0,0.0005509009175704964,Intermittent
ITM10101,Electronics,33.25,4.35,5,11,11.0,0.017115721634914354,Intermittent
ITM10872,Electronics,22.24,6.03,4,12,12.0,0.07351315440453395,Intermittent
ITM12548,Apparel,30.42,4.57,3,6,6.0,0.02256908648199803,Intermittent
ITM11358,Automotive,41.96,2.84,7,3,3.0,0.004581057269122801,Intermittent
ITM12370,Automotive,4.41,1.82,3,9,9.0,0.17031997984378935,Intermittent
ITM10464,Apparel,33.17,2.3,8,12,12.0,0.00480800298914182,Intermittent
ITM12974,Groceries,44.93,1.67,2,6,6.0,0.001381529316147199,Intermittent
ITM11004,Automotive,11.89,2.77,2,7,7.0,0.054274499706802114,Intermittent
ITM12787,Apparel,19.7,5.88,7,6,6.0,0.08908861346594862,Intermittent
ITM10797,Apparel,37.42,0.76,8,11,11.0,0.0004124958828968751,Intermittent
ITM12563,Automotive,39.53,2.93,6,7,7.0,0.005493910903149958,Intermittent
ITM10782,Electronics,36.31,8.43,8,11,11.0,0.053901723439208606,Intermittent
ITM12444,Pharma,25.86,9.9,2,9,9.0,0.14655928854818825,Intermittent
ITM11794,Automotive,46.1,2.19,3,13,13.0,0.002256765213790637,Intermittent
ITM12457,Electronics,47.59,3.7,7,14,14.0,0.00604466223871241,Intermittent
ITM10855,Pharma,22.9,9.04,2,4,4.0,0.15583531969260692,Intermittent
ITM10010,Pharma,33.22,0.82,2,7,7.0,0.0006092961704956395,Intermittent
ITM12363,Pharma,3.55,3.15,6,13,13.0,0.7873437809958342,Lumpy
ITM10386,Apparel,13.69,5.91,5,8,8.0,0.18636659283807533,Intermittent
ITM12480,Pharma,36.78,4.71,8,12,12.0,0.016399037706676174,Intermittent
ITM10248,Pharma,43.51,2.88,8,13,13.0,0.004381338510958708,Intermittent
ITM12452,Automotive,34.56,4.11,9,12,12.0,0.014142825279706792,Intermittent
ITM11389,Pharma,2.4,8.9,6,10,10.0,13.751736111111112,Lumpy
ITM12996,Automotive,30.46,3.86,8,6,6.0,0.01605886367447874,Intermittent
ITM12545,Apparel,16.59,2.85,3,7,7.0,0.02951188486931386,Intermittent
ITM10869,Pharma,40.8,1.03,4,12,12.0,0.0006373149750096119,Intermittent
ITM11977,Pharma,47.88,4.08,4,14,14.0,0.0072612609217278775,Intermittent
ITM11394,Apparel,21.39,7.46,5,5,5.0,0.1216343071885011,Intermittent
ITM12330,Electronics,9.53,7.4,8,8,8.0,0.6029449168638498,Lumpy
ITM13042,Pharma,46.46,5.76,3,4,4.0,0.015370449058980648,Intermittent
ITM10187,Electronics,6.06,9.05,7,12,12.0,2.2302415885152875,Lumpy
ITM10687,Electronics,5.54,9.22,8,6,6.0,2.7697611072736517,Lumpy
ITM11153,Electronics,48.18,3.48,4,5,5.0,0.005217048769480574,Intermittent
ITM10093,Groceries,7.43,9.95,5,3,3.0,1.7933643571494557,Lumpy
ITM12088,Electronics,38.49,4.72,9,3,3.0,0.015037934022873473,Intermittent
ITM11085,Electronics,5.29,4.17,4,11,11.0,0.6213850007682934,Lumpy
ITM12612,Apparel,36.04,3.23,7,10,10.0,0.008032217871128518,Intermittent
ITM11067,Automotive,42.28,9.7,6,9,9.0,0.052634864743669484,Intermittent
ITM10222,Groceries,27.06,8.96,3,9,9.0,0.10963783090763787,Intermittent
ITM10202,Electronics,21.32,0.51,8,13,13.0,0.0005722238453442407,Intermittent
ITM12696,Groceries,32.0,4.89,6,6,6.0,0.023351660156249995,Intermittent
ITM10992,Pharma,33.55,8.15,5,10,10.0,0.05901061875750988,Intermittent
ITM10312,Apparel,32.34,2.99,6,13,13.0,0.008547957328768355,Intermittent
ITM11341,Electronics,4.43,5.08,9,5,5.0,1.3149824967260981,Lumpy
ITM12714,Groceries,46.81,3.81,4,10,10.0,0.006624798435871949,Intermittent
ITM10766,Apparel,25.03,8.96,9,6,6.0,0.12814283267589882,Intermittent
ITM10954,Electronics,2.52,4.22,6,13,13.0,2.80429579239103,Lumpy
ITM10897,Electronics,14.41,5.74,4,12,12.0,0.15867036587380284,Intermittent
ITM12102,Apparel,13.73,4.83,5,9,9.0,0.12375227371707719,Intermittent
ITM13068,Automotive,18.84,7.09,8,5,5.0,0.14162198376314566,Intermittent
ITM10146,Pharma,37.59,5.82,9,9,9.0,0.02397183710411851,Intermittent
ITM12925,Groceries,27.55,1.94,7,10,10.0,0.004958613443302229,Intermittent
ITM11517,Groceries,33.98,2.38,9,11,11.0,0.004905769796379895,Intermittent
ITM11447,Automotive,28.53,9.14,5,10,10.0,0.10263343116358539,Intermittent
ITM11815,Pharma,17.92,8.4,9,10,10.0,0.2197265625,Intermittent
ITM12604,Pharma,4.52,6.32,9,6,6.0,1.9550473803743447,Lumpy
ITM10593,Apparel,37.47,4.14,2,6,6.0,0.012207684482253536,Intermittent
ITM10895,Automotive,19.24,2.27,3,5,5.0,0.013920075120698823,Intermittent
ITM10888,Apparel,31.67,2.14,8,12,12.0,0.004565952823605526,Intermittent
ITM10249,Groceries,3.11,2.46,3,10,10.0,0.6256759131936187,Lumpy
ITM12424,Automotive,39.81,2.81,5,13,13.0,0.004982281764025946,Intermittent
ITM10171,Electronics,14.92,5.79,3,6,6.0,0.1505980960116151,Intermittent
ITM10747,Groceries,5.58,6.14,3,3,3.0,1.2107886589329526,Lumpy
ITM12840,Electronics,8.19,4.05,5,10,10.0,0.24453568409612367,Intermittent
ITM10447,Electronics,26.7,2.5,4,12,12.0,0.008767130973923046,Intermittent
ITM10827,Pharma,2.18,5.86,7,3,3.0,7.225738574194092,Lumpy
ITM10538,Apparel,36.38,6.12,6,4,4.0,0.028299414796052053,Intermittent
ITM10403,Automotive,46.31,0.87,2,10,10.0,0.000352930298341041,Intermittent
ITM11479,Pharma,26.35,6.27,7,9,9.0,0.056620518563059656,Intermittent
ITM12764,Pharma,45.68,3.52,3,5,5.0,0.005937903515202076,Intermittent
ITM11060,Electronics,42.69,3.69,4,11,11.0,0.007471373070364443,Intermittent
ITM12521,Electronics,24.19,2.35,6,12,12.0,0.009437652619531778,Intermittent
ITM11149,Pharma,23.0,3.49,5,12,12.0,0.023024763705103975,Intermittent
ITM10290,Groceries,17.83,3.0,8,9,9.0,0.028309996983412553,Intermittent
ITM10244,Groceries,41.51,6.5,5,3,3.0,0.02452004407688302,Intermittent
ITM12962,Electronics,17.58,4.75,4,5,5.0,0.07300447426424435,Intermittent
ITM12488,Automotive,8.92,0.83,2,4,4.0,0.008658177321080254,Intermittent
ITM12451,Apparel,28.42,9.75,2,4,4.0,0.1176958322458785,Intermittent
ITM10629,Pharma,9.82,9.41,8,12,12.0,0.9182401350583412,Lumpy
ITM11527,Apparel,36.06,9.91,7,3,3.0,0.07552589217022593,Intermittent
ITM10916,Groceries,37.24,3.38,8,11,11.0,0.008237853341347844,Intermittent
ITM11434,Pharma,14.17,5.34,7,4,4.0,0.14201781074551428,Intermittent
ITM10268,Automotive,11.35,7.75,7,9,9.0,0.4662423101554464,Intermittent
ITM11195,Electronics,20.95,4.34,5,5,5.0,0.04291522604678715,Intermittent
ITM10814,Apparel,27.29,7.85,2,13,13.0,0.08274318655226674,Intermittent
ITM11969,Apparel,39.03,2.08,2,8,8.0,0.002840073420204237,Intermittent
ITM11831,Apparel,46.69,7.52,6,11,11.0,0.025941072850045013,Intermittent
