SKU,category,forecast_14d_total,mu_demand,sigma_demand,mu_lead,sigma_lead,safety_stock,ROP,EOQ,current_stock,annual_cost_dynamic,annual_cost_static,cost_saving_pct,action
ITM10032,Pharma,166.98,11.927,0.274,7.0,1.5,29.46,112.95,27.22,481,35480.84,58204.15,39.04,Hold
ITM10033,Electronics,291.77,20.841,0.38,2.0,1.5,51.43,93.11,43.14,403,42463.53,74771.19,43.21,Hold
ITM10034,Groceries,676.09,48.292,0.233,3.0,1.5,119.16,264.04,96.37,279,49721.25,80610.77,38.32,Hold
ITM10035,Automotive,290.54,20.753,0.0,4.0,1.5,51.21,134.22,101.86,433,14961.64,18850.47,20.63,Hold
ITM10036,Groceries,385.4,27.529,0.512,8.0,1.5,67.97,288.2,42.28,498,66994.85,134928.99,50.35,Hold
ITM10037,Automotive,108.61,7.758,0.62,5.0,1.5,19.28,58.07,33.29,377,14847.1,16897.38,12.13,Hold
ITM10039,Apparel,288.92,20.637,0.104,5.0,1.5,50.92,154.11,44.98,374,39470.85,73785.44,46.51,Hold
ITM10040,Pharma,548.75,39.196,0.087,5.0,1.5,96.72,292.7,60.81,91,68100.17,132790.69,48.72,Reorder Now
ITM10041,Electronics,167.62,11.973,0.207,4.0,1.5,29.55,77.44,49.43,278,16311.14,26193.09,37.73,Hold
ITM10043,Apparel,548.54,39.182,0.022,5.0,1.5,96.68,292.59,52.53,207,84486.09,170805.18,50.54,Reorder Now
ITM10044,Apparel,676.7,48.336,0.052,2.0,1.5,119.27,215.94,114.3,480,40364.33,61554.73,34.43,Hold
ITM10045,Electronics,89.63,6.402,0.621,3.0,1.5,15.9,35.1,24.02,192,17338.13,19666.71,11.84,Hold
ITM10046,Apparel,582.2,41.586,0.172,7.0,1.5,102.62,393.72,57.45,499,81203.32,157553.46,48.46,Hold
ITM10047,Automotive,215.12,15.366,0.018,9.0,1.5,37.92,176.21,58.44,309,18629.9,27796.71,32.98,Hold
ITM10048,Apparel,377.59,26.971,0.402,7.0,1.5,66.57,255.37,38.71,64,74092.66,154637.32,52.09,Reorder Now
ITM10049,Pharma,218.58,15.613,0.354,2.0,1.5,38.53,69.76,39.12,80,31760.84,54017.32,41.2,Hold
ITM10050,Pharma,424.32,30.309,0.07,2.0,1.5,74.79,135.41,97.32,102,25633.7,36902.01,30.54,Reorder Now
ITM10051,Pharma,252.98,18.07,0.184,7.0,1.5,44.6,171.09,49.42,142,28690.19,48133.61,40.39,Reorder Now
ITM10052,Pharma,251.51,17.965,0.047,5.0,1.5,44.33,134.15,42.17,377,35167.92,60052.2,41.44,Hold
ITM10053,Automotive,49.6,3.543,0.021,6.0,1.5,8.74,30.0,54.33,35,3409.26,3369.57,-1.18,Hold
ITM10054,Groceries,126.76,9.054,0.012,6.0,1.5,22.34,76.66,75.22,85,7350.17,7533.89,2.44,Hold
ITM10055,Electronics,632.55,45.182,0.004,4.0,1.5,111.49,292.21,146.68,443,28034.16,35986.36,22.1,Hold
ITM10056,Pharma,676.32,48.308,0.044,9.0,1.5,119.2,553.98,65.68,164,84393.8,170143.64,50.4,Reorder Now
ITM10057,Apparel,547.45,39.104,0.023,8.0,1.5,96.49,409.32,72.69,394,52832.28,93881.3,43.72,Reorder Now
ITM10058,Pharma,214.68,15.334,0.343,7.0,1.5,37.87,145.21,29.19,181,46853.6,88256.04,46.91,Hold
ITM10059,Apparel,288.72,20.623,0.114,7.0,1.5,50.89,195.25,42.16,253,43162.87,79306.34,45.57,Hold
ITM10060,Apparel,503.33,35.952,0.155,4.0,1.5,88.71,232.52,48.32,399,83586.71,174170.1,52.01,Hold
ITM10061,Pharma,674.76,48.197,0.144,9.0,1.5,118.93,552.71,58.47,163,100092.47,204751.58,51.12,Reorder Now
ITM10062,Automotive,331.78,23.699,0.046,6.0,1.5,58.48,200.67,46.63,377,46140.89,83347.42,44.64,Hold
ITM10064,Apparel,666.18,47.584,0.483,5.0,1.5,117.43,355.35,64.89,341,83881.57,167934.77,50.05,Reorder Now
ITM10066,Apparel,165.84,11.846,0.018,3.0,1.5,29.23,64.77,35.69,493,24198.39,41082.06,41.1,Hold
ITM10067,Apparel,66.18,4.727,0.447,3.0,1.5,11.73,25.92,16.72,32,18417.33,12714.81,-44.85,Hold
ITM10068,Pharma,331.23,23.659,0.143,9.0,1.5,58.38,271.32,44.97,203,48454.3,94849.05,48.91,Reorder Now
ITM10069,Pharma,385.19,27.513,0.559,6.0,1.5,67.93,233.01,57.92,130,42688.48,73840.68,42.19,Reorder Now
ITM10071,Automotive,214.98,15.356,0.023,3.0,1.5,37.89,83.96,38.43,309,31771.56,54117.54,41.29,Hold
ITM10072,Automotive,548.37,39.17,0.081,4.0,1.5,96.65,253.33,82.18,314,45006.8,74284.38,39.41,Hold
ITM10074,Automotive,250.06,17.862,0.29,8.0,1.5,44.09,186.99,41.64,411,35492.53,58623.81,39.46,Hold
ITM10075,Apparel,424.77,30.341,0.108,2.0,1.5,74.87,135.55,159.01,234,15781.06,16758.71,5.83,Hold
ITM10076,Electronics,466.07,33.29,0.136,5.0,1.5,82.15,248.6,109.04,481,25614.56,34694.81,26.17,Hold
ITM10077,Pharma,542.71,38.765,0.43,6.0,1.5,95.67,328.26,77.83,139,47602.76,81447.97,41.55,Reorder Now
ITM10078,Pharma,127.1,9.078,0.015,5.0,1.5,22.4,67.79,56.94,401,9765.58,11900.93,17.94,Hold
ITM10079,Pharma,506.32,36.166,0.079,6.0,1.5,89.24,306.23,44.82,74,94679.98,201600.79,53.04,Reorder Now
ITM10080,Automotive,422.32,30.166,0.161,9.0,1.5,74.44,345.93,41.88,46,78528.56,159846.55,50.87,Reorder Now
ITM10081,Electronics,75.52,5.394,0.382,2.0,1.5,13.34,24.13,16.67,137,22237.42,29349.17,24.23,Hold
ITM10082,Automotive,548.49,39.178,0.05,5.0,1.5,96.67,292.56,52.16,240,85375.6,171204.81,50.13,Reorder Now
ITM10083,Automotive,290.2,20.729,0.042,2.0,1.5,51.15,92.61,39.48,250,47777.6,85897.95,44.38,Hold
ITM10084,Electronics,244.53,17.466,0.38,9.0,1.5,43.14,200.34,30.73,72,53065.69,101888.57,47.92,Reorder Now
ITM10085,Electronics,332.15,23.725,0.086,6.0,1.5,58.54,200.89,35.34,314,69434.37,135567.34,48.78,Hold
ITM10086,Electronics,246.2,17.586,0.335,3.0,1.5,43.4,96.16,31.52,340,51614.62,101801.6,49.3,Hold
ITM10087,Electronics,250.65,17.903,0.066,8.0,1.5,44.18,187.4,32.08,420,51696.67,98346.24,47.43,Hold
ITM10088,Pharma,582.09,41.578,0.184,5.0,1.5,102.6,310.48,54.89,252,86912.97,170472.73,49.02,Reorder Now
ITM10090,Groceries,677.24,48.374,0.015,7.0,1.5,119.36,457.98,72.51,456,73260.3,138542.07,47.12,Reorder Now
ITM10091,Electronics,394.75,28.197,0.161,5.0,1.5,69.58,210.56,46.39,288,60597.76,116534.55,48.0,Hold
ITM10092,Groceries,127.38,9.099,0.002,5.0,1.5,22.45,67.94,28.25,40,22757.62,41309.73,44.91,Reorder Now
ITM10093,Groceries,140.78,10.056,0.238,5.0,1.5,24.83,75.11,24.61,422,31791.06,44827.91,29.08,Hold
ITM10094,Electronics,423.95,30.282,0.116,4.0,1.5,74.72,195.85,42.71,72,76678.65,152903.56,49.85,Reorder Now
ITM10095,Groceries,464.66,33.19,0.153,2.0,1.5,81.9,148.28,51.74,294,66539.26,124445.32,46.53,Hold
ITM10096,Automotive,76.62,5.473,0.3,2.0,1.5,13.52,24.47,62.52,332,4884.7,4312.79,-13.26,Hold
ITM10097,Apparel,167.89,11.992,0.211,5.0,1.5,29.6,89.56,38.72,300,22137.04,38118.95,41.93,Hold
ITM10099,Electronics,92.53,6.609,0.527,9.0,1.5,16.51,76.0,29.89,50,13738.98,14916.18,7.89,Reorder Now
ITM10101,Electronics,465.31,33.236,0.092,5.0,1.5,82.01,248.19,120.21,202,23042.24,29633.4,22.24,Reorder Now
ITM10102,Pharma,327.82,23.416,0.277,4.0,1.5,57.79,151.45,129.33,42,13834.9,14422.63,4.08,Reorder Now
ITM10103,Apparel,251.79,17.985,0.027,6.0,1.5,44.38,152.29,43.98,51,33273.69,57648.83,42.28,Reorder Now
ITM10104,Electronics,49.67,3.548,0.004,4.0,1.5,8.75,22.95,14.84,465,14515.67,14431.12,-0.59,Hold
ITM10105,Automotive,573.72,40.98,0.474,9.0,1.5,101.15,469.97,160.04,93,22732.11,26340.74,13.7,Reorder Now
ITM10106,Groceries,127.17,9.084,0.533,3.0,1.5,22.47,49.72,23.05,29,30065.54,48441.54,37.93,Reorder Now
ITM10107,Pharma,216.38,15.456,0.316,9.0,1.5,38.17,177.27,43.15,475,27456.67,47747.51,42.5,Hold
ITM10108,Groceries,423.09,30.22,0.021,9.0,1.5,74.57,346.55,97.18,73,25575.45,34718.56,26.33,Reorder Now
ITM10109,Groceries,166.09,11.863,0.07,9.0,1.5,29.28,136.05,31.71,71,28430.44,53667.8,47.03,Reorder Now
ITM10110,Electronics,333.54,23.824,0.181,5.0,1.5,58.79,177.91,35.32,167,69955.2,149161.17,53.1,Reorder Now
ITM10111,Groceries,581.77,41.555,0.133,9.0,1.5,102.54,476.54,60.64,179,74888.05,142133.19,47.31,Reorder Now
ITM10112,Automotive,331.91,23.708,0.086,2.0,1.5,58.5,105.91,41.15,389,55247.93,107246.72,48.49,Hold
ITM10113,Groceries,666.21,47.587,0.346,8.0,1.5,117.43,498.12,53.7,33,111750.02,232561.8,51.95,Reorder Now
ITM10115,Automotive,248.36,17.74,0.308,5.0,1.5,43.79,132.49,85.97,431,14604.62,18063.88,19.15,Hold
ITM10117,Groceries,290.52,20.751,0.007,2.0,1.5,51.2,92.71,33.05,72,62215.51,128995.41,51.77,Reorder Now
ITM10118,Electronics,460.39,32.885,0.18,4.0,1.5,81.15,212.68,47.95,427,73385.14,140315.47,47.7,Hold
ITM10119,Apparel,214.73,15.338,0.065,9.0,1.5,37.85,175.89,30.13,354,44729.14,83393.3,46.36,Hold
ITM10120,Apparel,676.09,48.292,0.134,6.0,1.5,119.16,408.92,68.81,41,78794.66,152039.93,48.18,Reorder Now
ITM10121,Pharma,419.98,29.999,0.315,6.0,1.5,74.03,254.02,65.0,49,41505.29,73005.43,43.15,Reorder Now
ITM10123,Groceries,465.08,33.22,0.091,5.0,1.5,81.97,248.07,56.52,279,58632.54,107907.68,45.66,Hold
ITM10124,Electronics,290.3,20.736,0.055,4.0,1.5,51.17,134.11,33.94,224,59699.9,115783.47,48.44,Hold
ITM10125,Pharma,581.27,41.519,0.215,8.0,1.5,102.45,434.61,46.14,78,113340.79,237286.42,52.23,Reorder Now
ITM10126,Automotive,423.02,30.216,0.09,7.0,1.5,74.56,286.07,42.66,490,76539.92,147480.6,48.1,Hold
ITM10127,Pharma,58.46,4.176,0.225,7.0,1.5,10.35,39.58,14.49,283,18802.34,26231.89,28.32,Hold
ITM10128,Automotive,142.78,10.198,0.405,8.0,1.5,25.24,106.82,36.63,485,19023.25,29213.7,34.88,Hold
ITM10129,Automotive,582.74,41.624,0.226,3.0,1.5,102.71,227.58,48.09,31,106670.26,231758.41,53.97,Reorder Now
ITM10130,Groceries,417.23,29.802,0.46,6.0,1.5,73.56,252.37,63.89,138,42063.29,69978.35,39.89,Reorder Now
ITM10131,Automotive,673.3,48.093,0.238,4.0,1.5,118.67,311.04,122.59,434,36956.46,53134.51,30.45,Hold
ITM10132,Pharma,103.52,7.394,0.287,5.0,1.5,18.28,55.25,24.03,481,21117.03,25096.8,15.86,Hold
ITM10133,Automotive,214.63,15.33,0.048,9.0,1.5,37.83,175.8,39.96,309,30055.41,52011.93,42.21,Hold
ITM10134,Groceries,165.16,11.797,0.015,2.0,1.5,29.11,52.7,25.25,357,38861.3,65608.07,40.77,Hold
ITM10135,Groceries,381.05,27.218,0.059,5.0,1.5,67.16,203.25,51.16,267,49881.12,94519.44,47.23,Hold
ITM10136,Pharma,290.22,20.73,0.055,5.0,1.5,51.15,154.8,33.38,373,61174.45,116033.62,47.28,Hold
ITM10137,Apparel,135.66,9.69,0.105,4.0,1.5,23.91,62.67,62.26,146,9631.34,11025.76,12.65,Hold
ITM10138,Apparel,463.32,33.094,0.105,6.0,1.5,81.66,280.23,44.38,94,83330.5,166426.92,49.93,Reorder Now
ITM10139,Automotive,373.8,26.7,0.302,4.0,1.5,65.89,172.69,41.64,380,65313.82,130997.38,50.14,Hold
ITM10140,Electronics,216.04,15.432,0.083,2.0,1.5,38.08,68.94,32.4,223,40631.25,71138.64,42.88,Hold
ITM10141,Automotive,324.86,23.204,0.493,8.0,1.5,57.3,242.94,54.9,68,35768.27,64078.02,44.18,Reorder Now
ITM10142,Pharma,536.94,38.353,0.233,4.0,1.5,94.64,248.05,49.11,98,90425.94,180704.05,49.96,Reorder Now
ITM10143,Pharma,165.76,11.84,0.002,3.0,1.5,29.21,64.73,34.07,460,25721.54,41082.97,37.39,Hold
ITM10144,Pharma,215.05,15.361,0.139,5.0,1.5,37.91,114.71,32.44,498,40288.93,74550.12,45.96,Hold
ITM10145,Pharma,251.06,17.933,0.11,6.0,1.5,44.25,151.85,39.49,260,38422.88,69359.51,44.6,Hold
ITM10146,Pharma,536.37,38.312,0.21,9.0,1.5,94.54,439.35,97.87,368,35083.55,52570.89,33.26,Reorder Now
ITM10147,Groceries,583.76,41.697,0.004,7.0,1.5,102.89,394.77,137.67,173,26926.53,35050.38,23.18,Reorder Now
ITM10148,Apparel,249.39,17.814,0.317,2.0,1.5,43.96,79.59,47.19,293,29866.84,54130.28,44.82,Hold
ITM10150,Electronics,628.59,44.899,0.305,5.0,1.5,110.79,335.29,63.6,233,78850.35,152107.3,48.16,Reorder Now
ITM10151,Electronics,677.33,48.381,0.01,4.0,1.5,119.38,312.9,54.65,313,111731.99,239671.34,53.38,Hold
ITM10153,Electronics,676.67,48.334,0.051,3.0,1.5,119.26,264.26,50.17,362,127561.91,278463.43,54.19,Hold
ITM10154,Groceries,465.67,33.262,0.073,4.0,1.5,82.08,215.13,64.48,107,48864.9,86997.57,43.83,Reorder Now
ITM10155,Electronics,514.36,36.74,0.388,5.0,1.5,90.67,274.37,132.27,325,23793.24,29986.64,20.65,Hold
ITM10157,Automotive,295.79,21.128,0.43,9.0,1.5,52.18,242.33,38.3,444,51412.18,102399.06,49.79,Hold
ITM10158,Electronics,127.94,9.138,0.056,8.0,1.5,22.55,95.66,28.82,409,22294.21,33564.59,33.58,Hold
ITM10159,Groceries,581.65,41.547,0.181,2.0,1.5,102.52,185.61,75.96,344,54486.7,95900.26,43.18,Hold
ITM10160,Groceries,631.9,45.136,0.057,7.0,1.5,111.37,427.33,99.06,447,43568.5,71695.54,39.23,Hold
ITM10161,Electronics,423.86,30.275,0.126,9.0,1.5,74.71,347.19,54.48,396,53621.95,102928.62,47.9,Hold
ITM10163,Electronics,128.6,9.186,0.17,8.0,1.5,22.68,96.17,27.67,176,23728.51,37940.98,37.46,Hold
ITM10164,Groceries,214.28,15.306,0.172,7.0,1.5,37.77,144.92,40.57,175,29386.8,46419.09,36.69,Hold
ITM10165,Apparel,170.87,12.205,0.095,6.0,1.5,30.12,103.35,32.86,158,28204.35,53361.28,47.14,Hold
ITM10166,Pharma,423.75,30.268,0.056,7.0,1.5,74.69,286.56,98.81,140,25155.07,35927.21,29.98,Reorder Now
ITM10168,Electronics,49.33,3.523,0.02,8.0,1.5,8.69,36.88,15.33,126,13793.92,21262.63,35.13,Hold
ITM10169,Pharma,53.12,3.794,0.117,2.0,1.5,9.37,16.95,56.23,166,3565.51,2390.64,-49.14,Hold
ITM10170,Electronics,422.17,30.155,0.279,5.0,1.5,74.41,225.19,70.31,156,37725.94,63116.38,40.23,Reorder Now
ITM10171,Electronics,210.24,15.017,0.311,3.0,1.5,37.07,82.12,73.23,430,14013.16,18134.63,22.73,Hold
ITM10172,Apparel,625.73,44.695,0.378,4.0,1.5,110.29,289.07,47.27,181,123178.72,259905.27,52.61,Reorder Now
ITM10173,Pharma,250.64,17.903,0.192,7.0,1.5,44.18,169.5,38.15,447,40231.57,70261.45,42.74,Hold
ITM10174,Pharma,215.52,15.395,0.018,6.0,1.5,37.99,130.35,39.63,471,30574.39,52146.93,41.37,Hold
ITM10176,Groceries,126.88,9.063,0.018,6.0,1.5,22.36,76.74,21.67,357,32673.19,54374.42,39.91,Hold
ITM10179,Electronics,290.43,20.745,0.006,7.0,1.5,51.19,196.4,46.73,160,37738.65,69552.83,45.74,Reorder Now
ITM10180,Electronics,327.03,23.359,0.484,2.0,1.5,57.65,104.37,38.57,102,59403.69,116840.94,49.16,Reorder Now
ITM10181,Groceries,64.93,4.638,0.134,2.0,1.5,11.45,20.72,22.7,196,12064.07,9858.64,-22.37,Hold
ITM10182,Electronics,48.54,3.467,0.014,8.0,1.5,8.55,36.29,22.42,217,8432.63,7773.91,-8.47,Hold
ITM10183,Apparel,380.56,27.183,0.055,6.0,1.5,67.07,230.17,37.05,131,80213.16,160444.63,50.01,Reorder Now
ITM10184,Apparel,505.02,36.073,0.084,8.0,1.5,89.01,377.6,43.8,75,97721.28,198302.63,50.72,Reorder Now
ITM10186,Automotive,153.72,10.98,0.259,4.0,1.5,27.11,71.02,56.01,198,12621.79,15600.77,19.1,Hold
ITM10187,Electronics,99.8,7.128,0.293,7.0,1.5,17.64,67.53,36.0,440,12068.3,16259.54,25.78,Hold
ITM10188,Electronics,77.03,5.502,0.376,7.0,1.5,13.67,52.19,24.19,420,13996.92,17290.18,19.05,Hold
ITM10190,Apparel,423.97,30.284,0.161,9.0,1.5,74.73,347.28,44.93,490,71041.47,145941.14,51.32,Hold
ITM10192,Pharma,464.66,33.19,0.123,7.0,1.5,81.9,314.23,42.36,432,89960.46,191976.03,53.14,Hold
ITM10193,Apparel,165.58,11.827,0.002,6.0,1.5,29.18,100.15,27.36,436,34766.88,60614.9,42.64,Hold
ITM10194,Pharma,329.46,23.533,0.342,9.0,1.5,58.09,269.89,62.63,335,30732.29,49976.78,38.51,Hold
ITM10195,Groceries,628.48,44.892,0.287,3.0,1.5,110.77,245.45,83.75,494,53633.64,94302.05,43.13,Hold
ITM10196,Groceries,246.3,17.593,0.334,6.0,1.5,43.43,148.99,47.8,236,28851.5,46677.9,38.19,Hold
ITM10199,Pharma,503.9,35.993,0.09,9.0,1.5,88.81,412.75,48.5,413,83252.67,172101.31,51.63,Hold
ITM10200,Apparel,547.65,39.118,0.049,7.0,1.5,96.52,370.35,156.36,194,21907.53,24344.81,10.01,Reorder Now
ITM10202,Electronics,290.45,20.746,0.0,8.0,1.5,51.19,217.16,35.35,232,56223.08,112138.67,49.86,Hold
ITM10203,Electronics,75.55,5.397,0.323,3.0,1.5,13.35,29.54,48.44,424,6171.86,6900.17,10.55,Hold
ITM10204,Pharma,414.32,29.594,0.442,7.0,1.5,73.05,280.21,115.98,254,20580.04,26757.01,23.09,Reorder Now
ITM10206,Automotive,583.29,41.664,0.133,5.0,1.5,102.81,311.13,91.28,120,43025.26,70322.66,38.82,Reorder Now
ITM10207,Groceries,582.39,41.6,0.184,3.0,1.5,102.65,227.45,58.88,436,78340.46,151004.3,48.12,Hold
ITM10208,Pharma,377.23,26.945,0.34,6.0,1.5,66.5,228.17,44.19,43,60670.59,118073.02,48.62,Reorder Now
ITM10209,Pharma,127.56,9.111,0.289,6.0,1.5,22.51,77.18,26.47,383,24906.53,38063.45,34.57,Hold
ITM10210,Groceries,52.7,3.765,0.115,6.0,1.5,9.3,31.89,21.97,30,9589.49,10199.0,5.98,Reorder Now
ITM10211,Pharma,548.37,39.169,0.079,4.0,1.5,96.65,253.33,61.08,292,67597.73,131084.15,48.43,Hold
ITM10212,Groceries,416.24,29.731,0.494,8.0,1.5,73.4,311.25,47.46,471,63655.1,125687.86,49.35,Hold
ITM10213,Apparel,505.4,36.1,0.058,9.0,1.5,89.08,413.98,104.59,450,29915.64,42771.42,30.06,Hold
ITM10217,Pharma,329.5,23.536,0.179,4.0,1.5,58.08,152.22,38.12,40,61174.71,120575.85,49.26,Reorder Now
ITM10218,Electronics,423.01,30.215,0.116,8.0,1.5,74.56,316.28,72.18,359,36577.93,60498.05,39.54,Hold
ITM10219,Electronics,550.99,39.357,0.218,6.0,1.5,97.12,333.26,147.87,486,23278.1,28015.64,16.91,Hold
ITM10220,Apparel,175.1,12.507,0.518,4.0,1.5,30.91,80.93,34.51,230,27354.86,43706.99,37.41,Hold
ITM10221,Electronics,84.38,6.027,0.099,9.0,1.5,14.88,69.12,18.3,159,22897.75,29583.76,22.6,Hold
ITM10222,Groceries,379.74,27.124,0.428,3.0,1.5,66.94,148.31,40.42,312,70000.93,139233.29,49.72,Hold
ITM10223,Pharma,72.65,5.19,0.031,6.0,1.5,12.81,43.94,29.91,317,9990.57,13442.06,25.68,Hold
ITM10224,Electronics,538.11,38.436,0.258,9.0,1.5,94.85,440.78,45.83,420,100981.86,210954.57,52.13,Reorder Now
ITM10225,Electronics,501.7,35.836,0.15,2.0,1.5,88.42,160.1,59.57,120,61096.74,115601.99,47.15,Reorder Now
ITM10226,Apparel,630.97,45.069,0.055,9.0,1.5,111.21,516.83,154.01,323,26618.37,32034.58,16.91,Reorder Now
ITM10227,Apparel,467.31,33.379,0.514,7.0,1.5,82.39,316.05,149.17,378,18770.1,20435.08,8.15,Hold
ITM10228,Groceries,79.32,5.666,0.448,3.0,1.5,14.04,31.03,23.57,47,15034.59,18820.3,20.12,Hold
ITM10230,Apparel,582.78,41.627,0.024,9.0,1.5,102.72,477.36,129.04,374,28744.49,37554.26,23.46,Reorder Now
ITM10231,Electronics,131.06,9.362,0.281,5.0,1.5,23.12,69.93,22.5,322,32512.29,58489.67,44.41,Hold
ITM10232,Pharma,505.51,36.108,0.059,5.0,1.5,89.1,269.64,49.73,165,80570.96,157596.04,48.88,Reorder Now
ITM10233,Pharma,546.15,39.011,0.086,9.0,1.5,96.26,447.36,49.07,275,93054.39,191476.31,51.4,Reorder Now
ITM10234,Electronics,251.87,17.991,0.111,9.0,1.5,44.4,206.31,38.56,481,39920.7,69795.47,42.8,Hold
ITM10235,Apparel,251.43,17.959,0.037,3.0,1.5,44.31,98.19,36.34,246,43313.81,75783.65,42.85,Hold
ITM10236,Electronics,391.01,27.93,0.433,5.0,1.5,68.93,208.58,57.66,255,43911.76,78607.59,44.14,Hold
ITM10237,Pharma,578.81,41.343,0.225,8.0,1.5,102.02,432.77,54.54,380,86974.89,181707.74,52.13,Reorder Now
ITM10239,Automotive,674.32,48.165,0.304,2.0,1.5,118.85,215.18,60.18,474,95699.78,189016.01,49.37,Hold
ITM10240,Groceries,423.76,30.269,0.129,3.0,1.5,74.69,165.49,63.53,32,43360.89,75594.66,42.64,Reorder Now
ITM10241,Electronics,676.4,48.314,0.039,6.0,1.5,119.22,409.1,86.89,229,56962.45,101689.46,43.98,Reorder Now
ITM10242,Electronics,86.16,6.154,0.013,6.0,1.5,15.19,52.11,17.86,248,24399.89,38353.65,36.38,Hold
ITM10243,Groceries,120.11,8.58,0.494,4.0,1.5,21.23,55.55,43.66,416,12225.03,14923.45,18.08,Hold
ITM10244,Groceries,583.07,41.648,0.15,5.0,1.5,102.77,311.01,50.55,119,98815.25,202898.66,51.3,Reorder Now
ITM10246,Pharma,327.4,23.386,0.182,7.0,1.5,57.71,221.41,49.88,405,41181.76,71745.74,42.6,Hold
ITM10247,Electronics,505.03,36.074,0.124,5.0,1.5,89.01,269.38,48.72,35,82995.77,166767.52,50.23,Reorder Now
ITM10248,Pharma,630.91,45.065,0.077,8.0,1.5,111.2,471.72,108.9,156,38752.07,57085.7,32.12,Reorder Now
